36.3	25.8	1
35.15	25.9	1
34.2	26.35	1
34.1	26.85	1
33.45	27.8	1
33.75	27.95	1
34.4	28.0	1
34.55	27.25	1
34.8	26.85	1
35.5	26.85	1
5.2	2.15	4
6.35	1.95	4
6.75	2.3	4
5.9	2.4	4
5.4	2.7	4
4.85	2.9	4
4.85	3.35	4
5.15	3.45	4
5.7	3.45	4
6.2	3	4
6.2	3.2	4
7.65	2.15	4
7.2	2.75	4
6.75	3.2	4
6.75	3.55	4
6.65	3.8	4
5.8	4	4
4.95	4.05	4
5.1	4.35	4
5.7	4.45	4
9.4	17.68	2
7.79	19.52	2
9.46	25.38	2
5.28	28.72	2
7.77	23.86	2
7.56	29.86	2
9.02	21.34	2
11.83	22.49	2
7.6	21.46	2
8.1	27.85	2
9.82	21.52	2
11.12	26.38	2
11.22	23.4	2
10.81	22.77	2
7.02	15.04	2
5.68	15.69	2
6.21	21.36	2
7.87	25.83	2
8.67	25.93	2
7.94	21.46	2
7.44	20.11	2
5.68	15.11	2
9.49	26.06	2
9.27	19.68	2
7.75	27.35	2
7.75	29.12	2
11.1	28.59	2
9.42	25.28	2
7.1	24.03	2
6.59	28.73	2
12.69	24.27	2
11.38	28.7	2
7.25	21.22	2
9.27	29.38	2
12.04	24.64	2
11.18	20.24	2
9.99	18.75	2
9.44	26.16	2
9.82	26.75	2
11.5	20.3	2
11.32	16.26	2
6.64	16.69	2
11.75	29.16	2
9.28	20.25	2
10.65	22.81	2
8.43	21.89	2
11.57	29.73	2
7.45	22.22	2
10.61	27.84	2
8.42	29.27	2
12.91	17.03	2
9.77	22.81	2
5.4	18.14	2
8.45	20.45	2
5.38	24.88	2
12.81	23.1	2
11.49	20.48	2
5.69	21.32	2
6.64	16.67	2
6.71	16.49	2
8.02	26.67	2
9.17	23.52	2
11.92	25.3	2
5.24	16.2	2
11.22	21.95	2
11.41	24.09	2
9.51	23.71	2
12.77	16.04	2
8.28	19.68	2
6.69	27.65	2
10.73	27.17	2
7.97	17.02	2
9.58	15.13	2
6.69	18.98	2
12.24	22.53	2
8.76	28.51	2
11.54	16.94	2
8.29	27.69	2
10.44	20.04	2
11.41	20.76	2
8.17	28.64	2
11.52	19.05	2
6.24	15.27	2
10.9	19.38	2
12.61	29.26	2
7.18	29.84	2
12.52	15.15	2
5.94	21.97	2
7.82	20.69	2
7.81	27.18	2
7.73	17.49	2
6.56	29.25	2
10.49	17.8	2
